"Plot Title: RCSF2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 20198357, LBL: new sap flow 30 cm)","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 21077015, LBL: new sap flow 60 cm)"
286,05/07/21 01:30:01 PM,0.2821,0.3213
287,05/07/21 02:00:01 PM,0.2821,0.3220
288,05/07/21 02:30:01 PM,0.2814,0.3206
289,05/07/21 03:00:01 PM,0.2814,0.3213
290,05/07/21 03:30:01 PM,0.2814,0.3213
291,05/07/21 04:00:01 PM,0.2821,0.3213
292,05/07/21 04:30:01 PM,0.2814,0.3213
293,05/07/21 05:00:01 PM,0.2814,0.3206
294,05/07/21 05:30:01 PM,0.2814,0.3220
295,05/07/21 06:00:01 PM,0.2814,0.3220
296,05/07/21 06:30:01 PM,0.2814,0.3220
297,05/07/21 07:00:01 PM,0.2806,0.3213
298,05/07/21 07:30:01 PM,0.2806,0.3213
299,05/07/21 08:00:01 PM,0.2814,0.3206
300,05/07/21 08:30:01 PM,0.2806,0.3206
301,05/07/21 09:00:01 PM,0.2814,0.3206
302,05/07/21 09:30:01 PM,0.2814,0.3213
303,05/07/21 10:00:01 PM,0.2806,0.3213
304,05/07/21 10:30:01 PM,0.2814,0.3213
305,05/07/21 11:00:01 PM,0.2814,0.3213
306,05/07/21 11:30:01 PM,0.2814,0.3213
307,05/08/21 12:00:01 AM,0.2814,0.3213
308,05/08/21 12:30:01 AM,0.2814,0.3213
309,05/08/21 01:00:01 AM,0.2814,0.3213
310,05/08/21 01:30:01 AM,0.2814,0.3213
311,05/08/21 02:00:01 AM,0.2806,0.3206
312,05/08/21 02:30:01 AM,0.2806,0.3206
313,05/08/21 03:00:01 AM,0.2806,0.3206
314,05/08/21 03:30:01 AM,0.2806,0.3206
315,05/08/21 04:00:01 AM,0.2814,0.3199
316,05/08/21 04:30:01 AM,0.2806,0.3199
317,05/08/21 05:00:01 AM,0.2806,0.3206
318,05/08/21 05:30:01 AM,0.2814,0.3199
319,05/08/21 06:00:01 AM,0.2806,0.3199
320,05/08/21 06:30:01 AM,0.2814,0.3199
321,05/08/21 07:00:01 AM,0.2814,0.3199
322,05/08/21 07:30:01 AM,0.2814,0.3206
323,05/08/21 08:00:01 AM,0.2814,0.3206
324,05/08/21 08:30:01 AM,0.2806,0.3199
325,05/08/21 09:00:01 AM,0.2806,0.3199
326,05/08/21 09:30:01 AM,0.2806,0.3199
327,05/08/21 10:00:01 AM,0.2814,0.3199
328,05/08/21 10:30:01 AM,0.2806,0.3206
329,05/08/21 11:00:01 AM,0.2814,0.3206
330,05/08/21 11:30:01 AM,0.2814,0.3206
331,05/08/21 12:00:01 PM,0.2814,0.3206
332,05/08/21 12:30:01 PM,0.2806,0.3213
333,05/08/21 01:00:01 PM,0.2806,0.3199
334,05/08/21 01:30:01 PM,0.2806,0.3199
335,05/08/21 02:00:01 PM,0.2806,0.3213
336,05/08/21 02:30:01 PM,0.2806,0.3213
337,05/08/21 03:00:01 PM,0.2806,0.3213
338,05/08/21 03:30:01 PM,0.2806,0.3206
339,05/08/21 04:00:01 PM,0.2806,0.3199
340,05/08/21 04:30:01 PM,0.2806,0.3199
341,05/08/21 05:00:01 PM,0.2799,0.3191
342,05/08/21 05:30:01 PM,0.2806,0.3191
343,05/08/21 06:00:01 PM,0.2799,0.3199
344,05/08/21 06:30:01 PM,0.2806,0.3206
345,05/08/21 07:00:01 PM,0.2799,0.3199
346,05/08/21 07:30:01 PM,0.2799,0.3206
347,05/08/21 08:00:01 PM,0.2806,0.3199
348,05/08/21 08:30:01 PM,0.2799,0.3191
349,05/08/21 09:00:01 PM,0.2799,0.3191
350,05/08/21 09:30:01 PM,0.2806,0.3191
351,05/08/21 10:00:01 PM,0.2799,0.3191
352,05/08/21 10:30:01 PM,0.2799,0.3191
353,05/08/21 11:00:01 PM,0.2799,0.3199
354,05/08/21 11:30:01 PM,0.2806,0.3199
355,05/09/21 12:00:01 AM,0.2799,0.3199
356,05/09/21 12:30:01 AM,0.2799,0.3191
357,05/09/21 01:00:01 AM,0.2806,0.3191
358,05/09/21 01:30:01 AM,0.2799,0.3191
359,05/09/21 02:00:01 AM,0.2799,0.3191
360,05/09/21 02:30:01 AM,0.2799,0.3191
361,05/09/21 03:00:01 AM,0.2799,0.3191
362,05/09/21 03:30:01 AM,0.2806,0.3191
363,05/09/21 04:00:01 AM,0.2799,0.3177
364,05/09/21 04:30:01 AM,0.2799,0.3177
365,05/09/21 05:00:01 AM,0.2806,0.3191
366,05/09/21 05:30:01 AM,0.2806,0.3177
367,05/09/21 06:00:01 AM,0.2799,0.3177
368,05/09/21 06:30:01 AM,0.2799,0.3184
369,05/09/21 07:00:01 AM,0.2799,0.3177
370,05/09/21 07:30:01 AM,0.2806,0.3184
371,05/09/21 08:00:01 AM,0.2799,0.3177
372,05/09/21 08:30:01 AM,0.2806,0.3184
373,05/09/21 09:00:01 AM,0.2799,0.3177
374,05/09/21 09:30:01 AM,0.2799,0.3184
375,05/09/21 10:00:01 AM,0.2799,0.3170
376,05/09/21 10:30:01 AM,0.2799,0.3177
377,05/09/21 11:00:01 AM,0.2806,0.3177
378,05/09/21 11:30:01 AM,0.2799,0.3170
379,05/09/21 12:00:01 PM,0.2799,0.3177
380,05/09/21 12:30:01 PM,0.2799,0.3170
381,05/09/21 01:00:01 PM,0.2799,0.3177
382,05/09/21 01:30:01 PM,0.2799,0.3177
383,05/09/21 02:00:01 PM,0.2799,0.3177
384,05/09/21 02:30:01 PM,0.2799,0.3177
385,05/09/21 03:00:01 PM,0.2792,0.3177
386,05/09/21 03:30:01 PM,0.2799,0.3177
387,05/09/21 04:00:01 PM,0.2799,0.3177
388,05/09/21 04:30:01 PM,0.2799,0.3170
389,05/09/21 05:00:01 PM,0.2799,0.3177
390,05/09/21 05:30:01 PM,0.2799,0.3170
391,05/09/21 06:00:01 PM,0.2792,0.3184
392,05/09/21 06:30:01 PM,0.2792,0.3184
393,05/09/21 07:00:01 PM,0.2799,0.3184
394,05/09/21 07:30:01 PM,0.2792,0.3184
395,05/09/21 08:00:01 PM,0.2799,0.3184
396,05/09/21 08:30:01 PM,0.2792,0.3177
397,05/09/21 09:00:01 PM,0.2799,0.3184
398,05/09/21 09:30:01 PM,0.2799,0.3170
399,05/09/21 10:00:01 PM,0.2792,0.3170
400,05/09/21 10:30:01 PM,0.2792,0.3177
401,05/09/21 11:00:01 PM,0.2792,0.3170
402,05/09/21 11:30:01 PM,0.2799,0.3177
403,05/10/21 12:00:01 AM,0.2799,0.3184
404,05/10/21 12:30:01 AM,0.2799,0.3184
405,05/10/21 01:00:01 AM,0.2792,0.3177
406,05/10/21 01:30:01 AM,0.2792,0.3184
407,05/10/21 02:00:01 AM,0.2792,0.3177
408,05/10/21 02:30:01 AM,0.2799,0.3177
409,05/10/21 03:00:01 AM,0.2792,0.3177
410,05/10/21 03:30:01 AM,0.2799,0.3177
411,05/10/21 04:00:01 AM,0.2792,0.3170
412,05/10/21 04:30:01 AM,0.2799,0.3177
