Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4
2019-07-13 05:30:00,0.3643,NA,NA,0.239,0.3804,NA,NA,0.2901,-0.165,NA,NA,0.2783
2019-07-13 06:00:00,0.3643,NA,NA,0.239,0.3811,NA,NA,0.2898,-0.1639,NA,NA,0.2786
2019-07-13 06:30:00,0.3649,NA,NA,0.2394,0.3811,NA,NA,0.2898,-0.1639,NA,NA,0.2786
2019-07-13 07:00:00,0.3655,NA,NA,0.2399,0.3811,NA,NA,0.2898,-0.1616,NA,NA,0.2786
2019-07-13 07:30:00,0.3655,NA,NA,0.2399,0.3811,NA,NA,0.2898,-0.1616,NA,NA,0.2786
2019-07-13 08:00:00,0.3655,NA,NA,0.2403,0.3811,NA,NA,0.2901,-0.1605,NA,NA,0.2786
2019-07-13 08:30:00,0.3655,NA,NA,0.2406,0.3811,NA,NA,0.2898,-0.1572,NA,NA,0.279
2019-07-13 09:00:00,0.366,NA,NA,0.2406,0.3804,NA,NA,0.2901,-0.1572,NA,NA,0.2786
2019-07-13 09:30:00,0.366,NA,NA,0.241,0.3811,NA,NA,0.2901,-0.1616,NA,NA,0.2786
2019-07-13 10:00:00,0.3655,NA,NA,0.241,0.3804,NA,NA,0.2898,-0.1538,NA,NA,0.2786
2019-07-13 10:30:00,0.3655,NA,NA,0.241,0.3816,NA,NA,0.2901,-0.1495,NA,NA,0.2786
2019-07-13 11:00:00,0.3649,NA,NA,0.2406,0.3811,NA,NA,0.2901,-0.1473,NA,NA,0.2786
2019-07-13 11:30:00,0.3643,NA,NA,0.2406,0.3811,NA,NA,0.2901,-0.1463,NA,NA,0.2786
2019-07-13 12:00:00,0.3643,NA,NA,0.2406,0.3804,NA,NA,0.2901,-0.1463,NA,NA,0.2786
2019-07-13 12:30:00,0.3643,NA,NA,0.2406,0.3811,NA,NA,0.2901,-0.1463,NA,NA,0.2786
2019-07-13 13:00:00,0.3632,NA,NA,0.2403,0.3804,NA,NA,0.2901,-0.1473,NA,NA,0.2786
2019-07-13 13:30:00,0.3632,NA,NA,0.2403,0.3804,NA,NA,0.2898,-0.1473,NA,NA,0.2786
2019-07-13 14:00:00,0.3622,NA,NA,0.2399,0.3804,NA,NA,0.2898,-0.1473,NA,NA,0.2786
2019-07-13 14:30:00,0.3622,NA,NA,0.2394,0.3804,NA,NA,0.2898,-0.1473,NA,NA,0.2786
2019-07-13 15:00:00,0.3611,NA,NA,0.2394,0.3804,NA,NA,0.2898,-0.1473,NA,NA,0.2786
2019-07-13 15:30:00,0.3611,NA,NA,0.2394,0.3798,NA,NA,0.2901,-0.1495,NA,NA,0.2786
2019-07-13 16:00:00,0.3611,NA,NA,0.2394,0.3798,NA,NA,0.2898,-0.1517,NA,NA,0.2783
2019-07-13 16:30:00,0.3605,NA,NA,0.239,0.3798,NA,NA,0.2898,-0.1528,NA,NA,0.2786
2019-07-13 17:00:00,0.3605,NA,NA,0.2394,0.3798,NA,NA,0.2901,-0.1538,NA,NA,0.2786
2019-07-13 17:30:00,0.36,NA,NA,0.2394,0.3798,NA,NA,0.2898,-0.1561,NA,NA,0.2783
2019-07-13 18:00:00,0.3605,NA,NA,0.239,0.3798,NA,NA,0.2898,-0.1572,NA,NA,0.2786
2019-07-13 18:30:00,0.36,NA,NA,0.2387,0.3793,NA,NA,0.2898,-0.1616,NA,NA,0.2783
2019-07-13 19:00:00,0.36,NA,NA,0.2387,0.3787,NA,NA,0.2898,-0.1616,NA,NA,0.278
2019-07-13 19:30:00,0.3594,NA,NA,0.239,0.3793,NA,NA,0.2898,-0.1639,NA,NA,0.2783
2019-07-13 20:00:00,0.3594,NA,NA,0.239,0.3793,NA,NA,0.2901,-0.1685,NA,NA,0.278
2019-07-13 20:30:00,0.3594,NA,NA,0.2383,0.3793,NA,NA,0.2901,-0.1696,NA,NA,0.278
2019-07-13 21:00:00,0.3594,NA,NA,0.2383,0.3793,NA,NA,0.2901,-0.1708,NA,NA,0.278
2019-07-13 21:30:00,0.3594,NA,NA,0.2383,0.3787,NA,NA,0.2898,-0.1719,NA,NA,0.278
2019-07-13 22:00:00,0.359,NA,NA,0.2379,0.3787,NA,NA,0.2901,-0.1731,NA,NA,0.278
2019-07-13 22:30:00,0.3594,NA,NA,0.2379,0.3787,NA,NA,0.2898,-0.1731,NA,NA,0.278
2019-07-13 23:00:00,0.359,NA,NA,0.2379,0.3787,NA,NA,0.2901,-0.1743,NA,NA,0.278
2019-07-13 23:30:00,0.359,NA,NA,0.2379,0.378,NA,NA,0.2901,-0.1743,NA,NA,0.278
2019-07-14 00:00:00,0.3594,NA,NA,0.2374,0.378,NA,NA,0.2901,-0.1743,NA,NA,0.2776
2019-07-14 00:30:00,0.359,NA,NA,0.2371,0.3787,NA,NA,0.2898,-0.1755,NA,NA,0.278
2019-07-14 01:00:00,0.359,NA,NA,0.2371,0.3787,NA,NA,0.2901,-0.1755,NA,NA,0.278
2019-07-14 01:30:00,0.359,NA,NA,0.2371,0.3787,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 02:00:00,0.3584,NA,NA,0.2371,0.3787,NA,NA,0.2901,-0.1755,NA,NA,0.278
2019-07-14 02:30:00,0.3584,NA,NA,0.2371,0.378,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 03:00:00,0.359,NA,NA,0.2371,0.378,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 03:30:00,0.359,NA,NA,0.2374,0.378,NA,NA,0.2904,-0.1755,NA,NA,0.278
2019-07-14 04:00:00,0.359,NA,NA,0.2374,0.378,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 04:30:00,0.359,NA,NA,0.2379,0.3775,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 05:00:00,0.3594,NA,NA,0.2379,0.378,NA,NA,0.2901,-0.1755,NA,NA,0.2776
2019-07-14 05:30:00,0.359,NA,NA,0.2379,0.378,NA,NA,0.2901,-0.1743,NA,NA,0.2776
2019-07-14 06:00:00,0.3594,NA,NA,0.2383,0.378,NA,NA,0.2901,-0.1743,NA,NA,0.2776
2019-07-14 06:30:00,0.359,NA,NA,0.2387,0.378,NA,NA,0.2901,-0.1743,NA,NA,0.2776
2019-07-14 07:00:00,0.359,NA,NA,0.2387,0.378,NA,NA,0.2901,-0.1731,NA,NA,0.2776
2019-07-14 07:30:00,0.3594,NA,NA,0.239,0.378,NA,NA,0.2901,-0.1719,NA,NA,0.2776
2019-07-14 08:00:00,0.3594,NA,NA,0.239,0.378,NA,NA,0.2901,-0.1708,NA,NA,0.2776
2019-07-14 08:30:00,0.36,NA,NA,0.239,0.378,NA,NA,0.2901,-0.1662,NA,NA,0.2776
2019-07-14 09:00:00,0.3605,NA,NA,0.2394,0.378,NA,NA,0.2901,-0.1605,NA,NA,0.2776
2019-07-14 09:30:00,0.36,NA,NA,0.2394,0.378,NA,NA,0.2901,-0.1639,NA,NA,0.2776
2019-07-14 10:00:00,0.3594,NA,NA,0.2399,0.378,NA,NA,0.2901,-0.1549,NA,NA,0.2776
2019-07-14 10:30:00,0.359,NA,NA,0.2394,0.3775,NA,NA,0.2901,-0.1528,NA,NA,0.2776
2019-07-14 11:00:00,0.359,NA,NA,0.239,0.378,NA,NA,0.2901,-0.1517,NA,NA,0.278
